poll_id,pollster_id,pollster,sponsor_ids,sponsors,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,display_name,mode,state,start_date,end_date,internal,partisan,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,updated_at,notes,url,url_article,url_topline,url_crosstab,politician_id,politician,favorable,unfavorable,alternate_answers
57552,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-02-15T00:00:00Z,2019-02-19T00:00:00Z,FALSE,NA,114716,1914,rv,NA,rv,FALSE,2025-04-28 19:41:23 UTC,2025-05-02 14:18:11 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/02/190232_crosstabs_POLITICO_RVs_v4_che.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/02/190232_crosstabs_POLITICO_RVs_v4_che.pdf,11,Donald Trump,41,52,6
57583,1508,Harris Poll,,,NA,NA,NA,Harris Poll,Online Opt-In Panel,NA,2019-02-19T00:00:00Z,2019-02-20T00:00:00Z,FALSE,NA,114664,1792,rv,NA,rv,FALSE,2025-04-28 19:39:45 UTC,2025-05-02 14:17:45 UTC,NA,https://harvardharrispoll.com/wp-content/uploads/2019/02/HHP_Feb2019_RV_crosstabs.pdf,NA,NA,https://harvardharrispoll.com/wp-content/uploads/2019/02/HHP_Feb2019_RV_crosstabs.pdf,11,Donald Trump,40,55,5
57593,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-02-22T00:00:00Z,2019-02-24T00:00:00Z,FALSE,NA,114715,1994,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/02/190245_crosstabs_POLITICO_RVs_v1_ML.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/02/190245_crosstabs_POLITICO_RVs_v1_ML.pdf,11,Donald Trump,41,53,6
57596,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-02-24T00:00:00Z,2019-02-26T00:00:00Z,FALSE,NA,114790,1326,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/oo6kz6sf4b/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/oo6kz6sf4b/econTabReport.pdf,11,Donald Trump,44,54,2
57614,1292,Hart/POS,,,NA,NA,NA,Hart Research Associates/Public Opinion Strategies,Live Phone,NA,2019-02-24T00:00:00Z,2019-02-27T00:00:00Z,FALSE,NA,114729,900,a,NA,a,FALSE,2025-04-28 19:35:06 UTC,2025-05-02 14:16:36 UTC,NA,https://www.documentcloud.org/documents/5756864-19062-NBCWSJ-February-Poll.html,NA,NA,NA,11,Donald Trump,42,50,8
57625,169,Gallup,,,NA,NA,NA,Gallup,Live Phone,NA,2019-02-12T00:00:00Z,2019-02-28T00:00:00Z,FALSE,NA,114651,1932,a,NA,a,FALSE,2025-04-28 19:39:45 UTC,2025-05-02 14:17:45 UTC,NA,https://news.gallup.com/poll/247397/favorability-potential-democratic-presidential-candidates-trends.aspx,NA,NA,NA,11,Donald Trump,44,56,1
57635,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-03-01T00:00:00Z,2019-03-03T00:00:00Z,FALSE,NA,114714,1993,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/03/190301_crosstabs_POLITICO_RVs.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/03/190301_crosstabs_POLITICO_RVs.pdf,11,Donald Trump,41,53,5
57638,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-03-03T00:00:00Z,2019-03-05T00:00:00Z,FALSE,NA,114789,1298,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9d5s05pspt/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9d5s05pspt/econTabReport.pdf,11,Donald Trump,46,53,2
57676,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-03-08T00:00:00Z,2019-03-10T00:00:00Z,FALSE,NA,114713,1994,rv,NA,rv,FALSE,2025-04-28 19:39:45 UTC,2025-05-02 14:17:45 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/03/190318_crosstabs_POLITICO_RVs_v1_DK.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/03/190318_crosstabs_POLITICO_RVs_v1_DK.pdf,11,Donald Trump,39,55,6
57679,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-03-10T00:00:00Z,2019-03-12T00:00:00Z,FALSE,NA,114788,1273,rv,NA,rv,FALSE,2025-04-28 19:41:21 UTC,2025-05-02 14:18:11 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/a5islr4zij/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/a5islr4zij/econTabReport.pdf,11,Donald Trump,44,55,1
57700,1866,CNN/SSRS,,,NA,NA,NA,CNN/SSRS,Live Phone,NA,2019-03-14T00:00:00Z,2019-03-17T00:00:00Z,FALSE,NA,114744,914,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://cdn.cnn.com/cnn/2019/images/03/19/rel4b.-.2020.pdf,NA,NA,https://cdn.cnn.com/cnn/2019/images/03/19/rel4b.-.2020.pdf,11,Donald Trump,42,53,4
57735,458,Suffolk,,,NA,NA,NA,Suffolk University,Live Phone,NA,2019-03-13T00:00:00Z,2019-03-17T00:00:00Z,FALSE,NA,114749,1000,rv,NA,rv,FALSE,2025-04-28 19:41:29 UTC,2025-05-02 14:18:13 UTC,NA,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2019/3_22_2019_complete_tables_pdftxt.pdf,NA,NA,NA,11,Donald Trump,42,50,8
57713,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-03-15T00:00:00Z,2019-03-17T00:00:00Z,FALSE,NA,114800,1991,rv,NA,rv,FALSE,2025-04-28 19:41:27 UTC,2025-05-02 14:18:13 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/03/190334_crosstabs_POLITICO_RVs_v1_ML.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/03/190334_crosstabs_POLITICO_RVs_v1_ML.pdf,11,Donald Trump,41,53,5
57719,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-03-17T00:00:00Z,2019-03-19T00:00:00Z,FALSE,NA,114787,1278,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/civrx2u2zk/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/civrx2u2zk/econTabReport.pdf,11,Donald Trump,42,56,1
57748,294,McLaughlin,,,NA,NA,NA,McLaughlin & Associates,Online Opt-In Panel,NA,2019-03-20T00:00:00Z,2019-03-24T00:00:00Z,FALSE,NA,114671,1000,lv,NA,lv,FALSE,2025-04-28 19:39:45 UTC,2025-05-02 14:17:45 UTC,NA,http://mclaughlinonline.com/pols/wp-content/uploads/2019/03/National-Omni-MA-Topline-for-Release-3-25-19.pdf,NA,http://mclaughlinonline.com/pols/wp-content/uploads/2019/03/National-Omni-MA-Topline-for-Release-3-25-19.pdf,NA,11,Donald Trump,47,51,2
57787,1508,Harris Poll,,,NA,NA,NA,Harris Poll,Online Opt-In Panel,NA,2019-03-25T00:00:00Z,2019-03-26T00:00:00Z,FALSE,NA,114663,1437,rv,NA,rv,FALSE,2025-04-28 19:39:45 UTC,2025-05-02 14:17:45 UTC,NA,https://harvardharrispoll.com/wp-content/uploads/2019/03/March2019_HHP_RegisteredVoters_Crosstabs.pdf,NA,NA,https://harvardharrispoll.com/wp-content/uploads/2019/03/March2019_HHP_RegisteredVoters_Crosstabs.pdf,11,Donald Trump,39,56,5
